歌曲名称,原表演者,语言
谁,廖峻涛,汉语
闷,王菲,汉语
光,陈粒,汉语
画,邓紫棋,汉语
问,林忆莲,汉语
闷,王菲,汉语
醉,黄龄,汉语
叹,黄龄,汉语
痒,黄龄,汉语
爱,莫文蔚,汉语
火,张惠妹,汉语
堕,Zyboy忠宇,汉语
马,福禄寿,汉语
哦,李上安,汉语
默,那英,汉语
走马,陈粒,汉语
小半,陈粒,汉语
虚拟,陈粒,汉语
体面,于文文,汉语
阴天,莫文蔚,汉语
迷宫,王若琳,汉语
冬眠,司南,汉语
像鱼,王贰浪,汉语
人间,王菲,汉语
流年,王菲,汉语
红豆,王菲,汉语
传奇,王菲,汉语
味道,辛晓琪,汉语
领悟,辛晓琪,汉语
囚鸟,张宇,汉语
后来,刘若英,汉语
遇见,孙燕姿,汉语
崇拜,梁静茹,汉语
暖暖,梁静茹,汉语
相思,毛阿敏,汉语
偿还,邓丽君,汉语
雨蝶,李翊君,汉语
过火,张信哲,汉语
心动,陈洁仪,汉语
恰好,黄丽玲,汉语
蜜蜂,万玲琳,汉语
山火,一只榴莲,汉语
海底,一只榴莲,汉语
白鹭,香香,汉语
败将,任然,汉语
她说,林俊杰,汉语
江南,林俊杰,汉语
当你,林俊杰,汉语
稻香,周杰伦,汉语
消愁,毛不易,汉语
情诗,不才,汉语
表白,周星星,汉语
夜车,曾轶可,汉语
太阳,邱振哲,汉语
大眠,王心凌,汉语
尘埃,家家,汉语
嘉宾,张远,汉语
偏爱,张芸京,汉语
晴天,周杰伦,汉语
盲点,邓紫棋,汉语
瞬间,邓紫棋,汉语
偶尔,邓紫棋,汉语
是否,邓紫棋,汉语
透明,邓紫棋,汉语
倒数,邓紫棋,汉语
再见,邓紫棋,汉语
爱你,邓紫棋,汉语
泡沫,邓紫棋,汉语
装醉,张惠妹,汉语
身后,张惠妹,汉语
不睡,张惠妹,汉语
三月,张惠妹,汉语
自虐,张惠妹,汉语
人质,张惠妹,汉语
勇敢,张惠妹,汉语
真实,张惠妹,汉语
记得,张惠妹,汉语
趁早,张惠妹,汉语
解脱,张惠妹,汉语
剪爱,张惠妹,汉语
知己,张惠妹,汉语
蓝天,张惠妹,汉语
分生,张惠妹,汉语
掉了,张惠妹,汉语
听海,张惠妹,汉语
抱歉,黄龄,汉语
谎言,黄龄,汉语
风月,黄龄,汉语
或许,黄龄,汉语
禁区,黄龄,汉语
画心,张靓颖,汉语
红白,黄诗扶,汉语
大调,黄龄,汉语
落花,林心如,汉语
气球,许茹芸,汉语
靠近,罗震环,汉语
空心,光泽,汉语
谪仙,叶里,汉语
月光,胡彦斌,汉语
红颜,胡彦斌,汉语
山鬼,winky诗,汉语
守候,那英,汉语
不容,一只榴莲,汉语
宁夏,梁静茹,汉语
情人,蔡徐坤,汉语
逍遥,任舒瞳,汉语
小小,容祖儿,汉语
菲林,蔡健雅,汉语
洋葱,杨宗纬,汉语
年轮,张碧晨,汉语
勇气,梁静茹,汉语
不染,萨顶顶,汉语
宝贝,张悬,汉语
大鱼,周深,汉语
茶汤,郁可唯,汉语
小雨,黄龄,汉语
唯一,王力宏,汉语
红黑,小星星,汉语
一半,薛之谦,汉语
暧昧,薛之谦,汉语
演员,薛之谦,汉语
绅士,薛之谦,汉语
我要你,任素汐,汉语
胡广生,任素汐,汉语
迷迭香,周杰伦,汉语
红玫瑰,陈奕迅,汉语
若把你,刘瑾睿,汉语
他不懂,张杰,汉语
小情歌,苏打绿,汉语
再遇见,苏打绿,汉语
笑忘书,王菲,汉语
我愿意,王菲,汉语
盗将行,花粥/马宇阳,汉语
多情种,胡杨林,汉语
月牙湾,飞儿乐团,汉语
白月光,张信哲,汉语
梦一场,那英,汉语
梦里花,张韶涵,汉语
欧若拉,张韶涵,汉语
萱草花,张小斐,汉语
兰花草,银霞,汉语
喜欢你,陈洁仪,汉语
水星记,郭顶,汉语
水中花,谭咏麟,汉语
追光者,岑宁儿,汉语
百利甜,魏晗,汉语
情人结,张芸京,汉语
我的梦,张靓颖,汉语
小永远,何洁,汉语
小幸运,田馥甄,汉语
繁华梦,黄龄,汉语
就这样,黄龄,汉语
甜蜜蜜,邓丽君,汉语
七月上,jam,汉语
好想你,朱主爱,汉语
爱啦啦,海楠,汉语
红颜旧,刘涛,汉语
童话镇,暗杠,汉语
云与海,阿yueyue,汉语
夜来香,邓丽君,汉语
女人花,梅艳芳,汉语
烟熏妆,邓紫棋,汉语
塞纳河,邓紫棋,汉语
毒苹果,邓紫棋,汉语
扇子舞,蓝沁,汉语
月弯弯,陈洁仪,汉语
平常心,张惠妹,汉语
过不去,张惠妹,汉语
平常心,张惠妹,汉语
后继者,任然,汉语
七里香,周杰伦,汉语
明明就,周杰伦,汉语
日不落,蔡依林,汉语
说爱你,蔡依林,汉语
女儿情,李玲玉,汉语
牵丝戏,银临,汉语
锦鲤抄,银临,汉语
念霜华,泽典,汉语
秦淮景,陈其钢,汉语
外婆桥,,汉语
与君书,阿yueyeu,汉语
闲庭絮,刘珂矣,汉语
红叶寺,苏玮,汉语
俗世呀,Aki阿杰,汉语
情人结,张芸京,汉语
第七感,张靓颖,汉语
虹之间,,汉语
桃花诺,邓紫棋,汉语
爱如意,邓紫棋,汉语
就这样,黄龄,汉语
红颜旧,刘涛,汉语
小磨洋,张小只ya,汉语
刚刚好,薛之谦,汉语
丑八怪,薛之谦,汉语
岁月神偷,金玟岐,汉语
错位时空,艾辰,汉语
光年之外,邓紫棋,汉语
让她降落,何璐,汉语
恋爱告急,鞠婧祎,汉语
南屏晚钟,徐小凤,汉语
百年孤寂,王菲,汉语
阿楚姑娘,梁凡,汉语
不醉不会,田馥甄,汉语
身骑白马,徐佳莹,汉语
路过人间,郁可唯,汉语
黑色幽默,周杰伦,汉语
星辰大海,黄霄云,汉语
我们的爱,飞儿乐团,汉语
新不了情,万芳,汉语
飞鸟和蝉,任然,汉语
漠河舞厅,柳爽,汉语
夏天的风,温岚,汉语
飞云之下,韩红/林俊杰,汉语
他不爱我,莫文蔚,汉语
我是我的,张靓颖,汉语
一厢情愿,黄龄,汉语
探清水河,晓月老板,汉语
爱过的你,何洁,汉语
浪人琵琶,,汉语
我好想你,苏打绿,汉语
开到荼靡,王菲,汉语
匆匆那年,王菲,汉语
心如止水,Ice Paper,汉语
风情万种,周星星,汉语
迷途之中,李上安,汉语
自我安慰,周延英,汉语
世界正中,陈粒,汉语
历历万乡,陈粒,汉语
鸳鸯海棠,张晓涵,汉语
花儿纳吉,洛天依/言和,汉语
时光洪流,,汉语
他不爱我,莫文蔚,汉语
出门向左,周星星,汉语
爱就爱吧,许茹芸,汉语
归去来兮,花粥,汉语
与我无关,阿冗,汉语
南屏晚钟,崔萍,汉语
亲密爱人,梅艳芳,汉语
在水一方,邓丽君,汉语
你的眼神,蔡琴,汉语
天涯歌女,周旋,汉语
棠梨煎雪,银临,汉语
腐草为萤,银临,汉语
霜雪千年,洛天依/乐正绫,汉语
清风徐,王菲,汉语
春暖花开,那英,汉语
我怀念的,孙燕姿,汉语
空空如也,任然,汉语
修炼爱情,林俊杰,汉语
告白气球,周杰伦,汉语
爱如潮水,张信哲,汉语
那些花儿,朴树,汉语
错位时空,艾辰,汉语
一生独一,卢焱,汉语
时间煮雨,郁可唯,汉语
知否知否,郁可唯,汉语
当你老了,莫文蔚,汉语
微笑以后,张靓颖,汉语
蝴蝶泉边,黄雅莉,汉语
兔子先生,洛天依,汉语
勾指起誓,洛天依/ilem,汉语
坏的好人,张惠妹,汉语
连名带姓,张惠妹,汉语
星火燎原,张惠妹,汉语
快乐眼泪,张惠妹,汉语
我要快乐,张惠妹,汉语
海阔天空,张惠妹,汉语
也许明天,张惠妹,汉语
排山倒海,张惠妹,汉语
哭不出来,张惠妹,汉语
后会无期,邓紫棋,汉语
我的秘密,邓紫棋,汉语
光年之外,邓紫棋,汉语
爱丫爱丫,by,汉语
一厢情愿,黄龄,汉语
独上西楼,邓丽君,汉语
为爱痴狂,刘若英,汉语
说不出口,刘涛,汉语
天外来物,薛之谦,汉语
认真的雪,薛之谦,汉语
像风一样,薛之谦,汉语
方圆几里,薛之谦,汉语
变废为宝,薛之谦,汉语
别找我麻烦,蔡健雅,汉语
被驯服的象,蔡健雅,汉语
红色高跟鞋,蔡健雅,汉语
越来越不懂,蔡健雅,汉语
怎么唱情歌,刘惜君,汉语
你留下的爱,李玟,汉语
一样的月光,徐佳莹,汉语
奇妙能力歌,陈粒,汉语
但愿人长久,邓丽君,汉语
天生不完美,那英,汉语
可惜不是你,梁静茹,汉语
会呼吸的痛,梁静茹,汉语
淋雨一直走,张韶涵,汉语
慢慢喜欢你,莫文蔚,汉语
如果没有你,莫文蔚,汉语
终于等到你,张靓颖,汉语
人间不值得,黄诗扶,汉语
吹梦到西洲,黄诗扶,汉语
是不是爱情,何洁,汉语
最长的电影,周杰伦,汉语
至少还有你,林忆莲,汉语
亲爱的旅人,周深,汉语
我只在乎你,邓丽君,汉语
有一种悲伤,黄丽玲,汉语
折枝花满衣,泽典,汉语
走在冷风中,刘思涵,汉语
贝加尔湖畔,李健,汉语
如果有来生,谭维维,汉语
最美的期待,周笔畅,汉语
走过咖啡屋,千百惠,汉语
最浪漫的事,赵咏华,汉语
吹灭小山河,司南,汉语
人间惊鸿客,叶里,汉语
辞九门回忆,解忧草/冰幽,汉语
如果云知道,许茹芸,汉语
有你的快乐,王若琳,汉语
下个路口见,周笔畅,汉语
我的歌声里,曲婉婷,汉语
残酷的月光,林宥嘉,汉语
东京不太热,洛天依,汉语
白鸟过河滩,洛天依,汉语
单行的轨道,邓紫棋,汉语
岩石里的花,邓紫棋,汉语
另一个童话,邓紫棋,汉语
回忆的沙漏,邓紫棋,汉语
不存在存在,邓紫棋,汉语
偷故事的人,张惠妹,汉语
都对也都错,张惠妹,汉语
我最亲爱的,张惠妹,汉语
灵魂的重量,张惠妹,汉语
你是爱我的,张惠妹,汉语
不像个大人,张惠妹,汉语
我恨我爱你,张惠妹,汉语
梦见铁达尼,张惠妹,汉语
永远的画面,张惠妹,汉语
爱什么稀罕,张惠妹,汉语
没那么简单,黄小琥,汉语
爱就一个字,张信哲,汉语
你把我灌醉,黄大炜,汉语
算什么男人,周杰伦,汉语
轻轻的告诉你,杨钰莹,汉语
我可以抱你吗,张惠妹,汉语
魔鬼中的天使,田馥甄,汉语
化身孤岛的鲸,周深,汉语
别在伤口撒盐,张惠妹,汉语
往事只能回味,高胜美,汉语
你在终点等我,王菲,汉语
爱情怎么喊停,曾沛慈,汉语
数不尽的星空,曾沛慈,汉语
你是我的风景,何洁,汉语
你一定要幸福,何洁,汉语
写不完的温柔,邓紫棋,汉语
当爱已成往事,林忆莲,汉语
寂寞寂寞就好,田馥甄,汉语
你不知道的事,王力宏,汉语
无人知晓的我,黄丽玲,汉语
永不失联的爱,周兴哲,汉语
粉红色的回忆,韩宝仪,汉语
月亮代表我的心,邓丽君,汉语
红蔷薇白玫瑰,邓紫棋,汉语
阿拉斯加海湾,蓝心羽,汉语
都什么时候了,张惠妹,汉语
还有眼泪就好,张惠妹,汉语
潜意式的残酷,邓紫棋,汉语
你和我的时光,张惠妹,汉语
如果你也听说,张惠妹,汉语
我可以抱你吗,张惠妹,汉语
得不到的爱情,姚莉,汉语
你还要我怎样,薛之谦,汉语
怎么说我不爱你,萧敬腾,汉语
天亮以前说再见,曲肖冰,汉语
这世界那么多人,莫文蔚,汉语
世界上另一个我,阿肆/郭采洁,汉语
你不是真正的快乐,范晓萱,汉语
白天不懂夜的黑,那英,汉语
今后我与自己流浪,张碧晨,汉语
多远都要在一起,邓紫棋,汉语
羞答答的玫瑰静悄悄的开,孟庭苇,汉语
风中有朵雨做的云,孟庭苇,汉语
寂寞星球的玫瑰,邓紫棋,汉语
有个爱你的人不容易,那英,汉语
天空中划过一道星光,黄龄,汉语
用尽我的一切奔向你,周笔畅,汉语
原来你什么都不想要,张惠妹,汉语
花一开满就相爱,那英,汉语
漂洋过海来看你,李宗盛,汉语
无与伦比的美丽,苏打绿,汉语
我的幸福刚刚好,那英,汉语
不要忘记我爱你,张碧晨,汉语
如果这就是爱情,张靓颖,汉语
爱在浪漫中舞蹈,何洁,汉语
相爱后动物感伤,张惠妹,汉语
为你我受冷风吹,李宗盛,汉语
一个人想着一个人,曾沛慈,汉语
给我一个理由忘记,黄丽玲,汉语
有多少爱可以重来,迪克牛仔,汉语
我的一个道姑朋友,双笙,汉语
我为什么那么爱你,张惠妹,汉语
薇多莉亚的秘密,张惠妹,汉语
来自天堂的魔鬼,邓紫棋,汉语
你就不要想起我,田馥甄,汉语
我用什么把你留住,福禄寿,汉语
一个像夏天一个像秋天,范玮琪,汉语
